E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        0.00    0.00
  0     200          0.00         63.23       88.33    0.88
  0     400          0.00         25.99       91.96    0.92
  0     600          0.00         15.02       94.48    0.94
  0     800          0.00          7.00       96.11    0.96
  0    1000          0.00          6.39       96.69    0.97
  1    1200          0.00          4.62       96.68    0.97
  1    1400          0.00          2.35       96.65    0.97
  1    1600          0.00          2.57       96.95    0.97
  1    1800          0.00          2.38       96.96    0.97
  2    2000          0.00          0.11       96.57    0.97
  2    2200          0.00          0.02       96.68    0.97
  3    2400          0.00          4.02       96.82    0.97
  3    2600          0.00          0.02       96.82    0.97
  4    2800          0.00          0.01       96.82    0.97
  5    3000          0.00          2.01       97.04    0.97
  6    3200          0.00          2.01       96.93    0.97
  7    3400          0.00          2.01       97.04    0.97
  7    3600          0.00          2.01       97.04    0.97
  8    3800          0.00          0.01       97.04    0.97
  9    4000          0.00          2.00       97.13    0.97
 10    4200          0.00          4.00       96.82    0.97
 10    4400          0.00          0.00       96.82    0.97
 11    4600          0.00          0.00       96.82    0.97
 12    4800          0.00          2.00       96.72    0.97
 13    5000          0.00          4.00       96.72    0.97
 14    5200          0.00          0.00       96.72    0.97
 14    5400          0.00          2.00       96.72    0.97
 15    5600          0.00          2.00       96.72    0.97
