E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        1.12    0.01
  0     200          0.00         60.10       87.79    0.88
  0     400          0.00         22.11       91.11    0.91
  0     600          0.00         16.75       93.03    0.93
  0     800          0.00         15.10       94.76    0.95
  0    1000          0.00          4.33       94.99    0.95
  1    1200          0.00          2.83       95.44    0.95
  1    1400          0.00          0.44       95.29    0.95
  1    1600          0.00          0.29       95.10    0.95
  1    1800          0.00          0.32       95.15    0.95
  2    2000          0.00          0.07       95.25    0.95
  2    2200          0.00          0.11       95.36    0.95
  3    2400          0.00          0.07       95.12    0.95
  4    2600          0.00          0.04       94.88    0.95
  4    2800          0.00          0.03       94.88    0.95
