E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67       16.86    0.17
  0     200          0.00        101.95       74.87    0.75
  0     400          0.00         49.85       88.30    0.88
  0     600          0.00         38.44       89.20    0.89
  0     800          0.00         32.44       92.01    0.92
  0    1000          0.00         17.72       93.12    0.93
  0    1200          0.00         32.76       94.21    0.94
  0    1400          0.00         22.17       95.15    0.95
  1    1600          0.00          1.39       95.77    0.96
  1    1800          0.00          5.87       95.18    0.95
  1    2000          0.00          3.09       95.69    0.96
  1    2200          0.00          7.03       94.68    0.95
  1    2400          0.00         10.65       95.64    0.96
  1    2600          0.00          3.28       94.56    0.95
  2    2800          0.00          6.77       93.62    0.94
  2    3000          0.00          7.20       93.73    0.94
  2    3200          0.00          3.70       95.32    0.95
