E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        4.23    0.04
  0     200          0.00        111.50       81.39    0.81
  0     400          0.00         46.98       85.47    0.85
  0     600          0.00         26.94       88.23    0.88
  0     800          0.00         24.50       93.26    0.93
  0    1000          0.00         23.09       94.40    0.94
  0    1200          0.00         23.81       93.06    0.93
  0    1400          0.00         25.77       93.94    0.94
  0    1600          0.00         12.47       92.37    0.92
  0    1800          0.00         15.45       90.33    0.90
  0    2000          0.00         19.56       94.49    0.94
  0    2200          0.00         13.86       95.64    0.96
  0    2400          0.00         24.79       94.88    0.95
  0    2600          0.00         16.57       96.18    0.96
  0    2800          0.00          9.49       95.03    0.95
  0    3000          0.00         11.38       94.40    0.94
  0    3200          0.00         17.63       95.17    0.95
  0    3400          0.00         17.25       96.69    0.97
  1    3600          0.00          3.73       96.29    0.96
  1    3800          0.00          8.73       95.35    0.95
  1    4000          0.00          4.41       96.19    0.96
  1    4200          0.00          2.41       96.36    0.96
  1    4400          0.00          2.40       95.89    0.96
  1    4600          0.00          2.54       95.82    0.96
  1    4800          0.00          2.15       96.05    0.96
  1    5000          0.00          2.60       96.68    0.97
