E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67       16.89    0.17
  0     200          0.00        106.24       58.49    0.58
  0     400          0.00         49.52       86.02    0.86
  0     600          0.00         37.04       88.01    0.88
  0     800          0.00         33.56       89.74    0.90
  0    1000          0.00         30.30       90.48    0.90
  0    1200          0.00         14.61       91.83    0.92
  0    1400          0.00         32.66       93.22    0.93
  0    1600          0.00         20.23       94.31    0.94
  0    1800          0.00         12.60       93.55    0.94
  0    2000          0.00         17.31       94.52    0.95
  0    2200          0.00         19.54       95.71    0.96
  0    2400          0.00         13.36       94.36    0.94
  0    2600          0.00         17.55       96.14    0.96
  0    2800          0.00         10.59       93.47    0.93
  0    3000          0.00          8.52       96.12    0.96
  0    3200          0.00          6.47       96.19    0.96
  0    3400          0.00          8.65       96.17    0.96
  0    3600          0.00          6.38       95.90    0.96
  0    3800          0.00          8.04       95.70    0.96
  0    4000          0.00          9.17       96.45    0.96
  0    4200          0.00          4.50       96.25    0.96
  0    4400          0.00         10.54       96.91    0.97
  0    4600          0.00          4.96       96.01    0.96
  0    4800          0.00          5.02       96.74    0.97
  0    5000          0.00          4.76       96.94    0.97
  0    5200          0.00          3.12       96.82    0.97
  0    5400          0.00          4.64       97.69    0.98
  1    5600          0.00          0.29       97.62    0.98
  1    5800          0.00          0.32       97.12    0.97
  1    6000          0.00          2.35       97.47    0.97
  1    6200          0.00          0.15       97.49    0.97
  1    6400          0.00          4.24       97.37    0.97
  1    6600          0.00          4.15       97.96    0.98
  1    6800          0.00          2.37       97.64    0.98
  1    7000          0.00          1.92       97.74    0.98
  1    7200          0.00          6.04       97.16    0.97
  1    7400          0.00          2.07       97.85    0.98
  1    7600          0.00          4.23       97.79    0.98
  1    7800          0.00          2.30       97.41    0.97
  1    8000          0.00          0.15       97.11    0.97
  1    8200          0.00          4.29       97.23    0.97
