E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        0.86    0.01
  0     200          0.00         76.56       83.38    0.83
  0     400          0.00         22.51       89.86    0.90
  0     600          0.00         13.89       93.14    0.93
  0     800          0.00         15.92       94.15    0.94
  0    1000          0.00         10.93       93.73    0.94
  0    1200          0.00          7.25       95.47    0.95
  0    1400          0.00          5.11       95.08    0.95
  0    1600          0.00          3.40       95.80    0.96
  0    1800          0.00          3.95       96.29    0.96
  0    2000          0.00          3.18       96.87    0.97
  1    2200          0.00          0.85       97.06    0.97
  1    2400          0.00          0.09       96.82    0.97
  1    2600          0.00          3.17       96.76    0.97
  2    2800          0.00          1.55       97.10    0.97
  2    3000          0.00          0.04       96.99    0.97
  2    3200          0.00          0.02       97.02    0.97
  3    3400          0.00          2.07       96.98    0.97
  3    3600          0.00          0.03       96.90    0.97
  3    3800          0.00          0.02       96.90    0.97
  4    4000          0.00          2.02       96.68    0.97
  4    4200          0.00          0.13       96.77    0.97
  4    4400          0.00          2.08       96.63    0.97
