E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        0.00    0.00
  0     200          0.00         66.48       83.15    0.83
  0     400          0.00         24.08       90.65    0.91
  0     600          0.00         15.95       92.96    0.93
  0     800          0.00         16.76       93.76    0.94
  0    1000          0.00         11.68       94.99    0.95
  0    1200          0.00          5.52       95.60    0.96
  0    1400          0.00          4.16       95.99    0.96
  0    1600          0.00          5.11       96.19    0.96
  0    1800          0.00          1.33       96.50    0.96
  0    2000          0.00          1.87       96.82    0.97
  0    2200          0.00          0.89       97.14    0.97
  0    2400          0.00          0.45       97.39    0.97
  0    2600          0.00          0.31       97.75    0.98
  1    2800          0.00          0.25       97.81    0.98
  1    3000          0.00          2.05       97.86    0.98
  1    3200          0.00          0.09       97.78    0.98
  1    3400          0.00          0.07       97.77    0.98
  1    3600          0.00          0.07       97.79    0.98
  1    3800          0.00          0.06       97.82    0.98
  2    4000          0.00          0.06       97.94    0.98
  2    4200          0.00          0.03       97.98    0.98
  2    4400          0.00          0.04       97.85    0.98
  2    4600          0.00          0.03       97.87    0.98
  2    4800          0.00          0.06       97.83    0.98
  2    5000          0.00          2.03       97.77    0.98
  3    5200          0.00          0.03       97.85    0.98
  3    5400          0.00          0.02       97.72    0.98
  3    5600          0.00          0.02       97.71    0.98
  3    5800          0.00          2.01       97.71    0.98
