E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        0.97    0.01
  0     200          0.00         63.21       87.31    0.87
  0     400          0.00         18.38       92.99    0.93
  0     600          0.00         12.02       95.06    0.95
  0     800          0.00          8.69       95.97    0.96
  0    1000          0.00          5.61       96.53    0.97
  0    1200          0.00          5.78       96.70    0.97
  0    1400          0.00          2.15       97.09    0.97
  0    1600          0.00          3.52       97.40    0.97
  0    1800          0.00          2.66       97.24    0.97
  0    2000          0.00          1.58       97.86    0.98
  1    2200          0.00          2.29       97.79    0.98
  1    2400          0.00          2.04       97.84    0.98
  1    2600          0.00          0.06       97.84    0.98
  1    2800          0.00          2.29       97.83    0.98
  2    3000          0.00          2.02       97.82    0.98
  2    3200          0.00          2.03       97.82    0.98
  2    3400          0.00          4.02       97.78    0.98
  3    3600          0.00          2.01       97.77    0.98
