E    #       LOSS TOK2VEC  LOSS TEXTCAT  CATS_SCORE  SCORE
---  ------  ------------  ------------  ----------  ------
  0       0          0.00          0.67        0.67    0.01
  0     200          0.00         67.29       87.62    0.88
  0     400          0.00         24.51       91.42    0.91
  0     600          0.00         10.34       94.10    0.94
  0     800          0.00         13.05       94.72    0.95
  0    1000          0.00          9.13       96.20    0.96
  0    1200          0.00          5.83       96.29    0.96
  0    1400          0.00          1.88       96.80    0.97
  0    1600          0.00          2.44       97.49    0.97
  0    1800          0.00          5.62       97.45    0.97
  0    2000          0.00          2.55       97.65    0.98
  0    2200          0.00          2.33       97.67    0.98
  0    2400          0.00          4.78       97.92    0.98
  0    2600          0.00          0.30       97.82    0.98
  0    2800          0.00          9.13       98.12    0.98
  1    3000          0.00          2.18       98.24    0.98
  1    3200          0.00          2.05       98.25    0.98
  1    3400          0.00          2.02       98.26    0.98
  1    3600          0.00          0.12       98.11    0.98
  1    3800          0.00          6.02       98.30    0.98
  1    4000          0.00          2.03       98.36    0.98
  1    4200          0.00          4.03       98.40    0.98
  2    4400          0.00          2.02       98.30    0.98
  2    4600          0.00          2.02       98.29    0.98
  2    4800          0.00          6.03       98.41    0.98
  2    5000          0.00          2.01       98.47    0.98
  2    5200          0.00          4.01       98.37    0.98
  2    5400          0.00          2.04       98.37    0.98
  3    5600          0.00          0.01       98.44    0.98
  3    5800          0.00          0.01       98.46    0.98
  3    6000          0.00          2.00       98.31    0.98
  3    6200          0.00          4.00       98.43    0.98
  3    6400          0.00          2.02       98.41    0.98
  3    6600          0.00          4.01       98.33    0.98
